REGWLD,EVCHANGE,SCEN,Value
ARG,EVpct,BAU,20.709331512
BGD,EVpct,BAU,30.919816971
BRAZIL,EVpct,BAU,19.838567734
C_C_Amer,EVpct,BAU,26.164129257
CAN,EVpct,BAU,23.338479996
CHIHKG,EVpct,BAU,46.487293243
COL,EVpct,BAU,16.568267822
E_Asia,EVpct,BAU,49.883903503
EGY,EVpct,BAU,41.782276154
ETH,EVpct,BAU,29.192434311
EU27,EVpct,BAU,12.998585701
IDN,EVpct,BAU,25.251260757
INDIA,EVpct,BAU,40.417995453
JAPAN,EVpct,BAU,9.2547159195
KOR,EVpct,BAU,24.047084808
MAR,EVpct,BAU,24.828275681
MDG,EVpct,BAU,24.509296417
MEAS_NAfr,EVpct,BAU,23.121892929
MEX,EVpct,BAU,21.057893753
MYS,EVpct,BAU,29.362026215
NGA,EVpct,BAU,63.266681671
Oceania,EVpct,BAU,27.674081802
Oth_CEE_CIS,EVpct,BAU,39.118465424
Oth_Europe,EVpct,BAU,15.328893661
PAK,EVpct,BAU,24.781560898
PHL,EVpct,BAU,39.073078156
POL,EVpct,BAU,28.922294617
R_S_Asia,EVpct,BAU,29.392208099
R_SE_Asia,EVpct,BAU,23.385511398
Russia,EVpct,BAU,30.999736786
S_o_Amer,EVpct,BAU,21.448596954
S_S_AFR,EVpct,BAU,41.259464264
TUR,EVpct,BAU,32.697593689
USA,EVpct,BAU,12.950042725
VNM,EVpct,BAU,37.049072266
XAC,EVpct,BAU,61.60244751
ZAF,EVpct,BAU,26.333585739
World,EVpct,BAU,22.637432098
ARG,EVval,BAU,102606.28125
BGD,EVval,BAU,47244.234375
BRAZIL,EVval,BAU,426722.25
C_C_Amer,EVval,BAU,128529.29687
CAN,EVval,BAU,352395.53125
CHIHKG,EVval,BAU,4380214
COL,EVval,BAU,55378.929687
E_Asia,EVval,BAU,38400.011719
EGY,EVval,BAU,119427.65625
ETH,EVval,BAU,14476.00293
EU27,EVval,BAU,2007876.125
IDN,EVval,BAU,197352.125
INDIA,EVval,BAU,724635.4375
JAPAN,EVval,BAU,359736.96875
KOR,EVval,BAU,287114.4375
MAR,EVval,BAU,25064.826172
MDG,EVval,BAU,2500.9851074
MEAS_NAfr,EVval,BAU,629407.0625
MEX,EVval,BAU,237322.28125
MYS,EVval,BAU,87702.773437
NGA,EVval,BAU,332202.625
Oceania,EVval,BAU,408691.75
Oth_CEE_CIS,EVval,BAU,301096.0625
Oth_Europe,EVval,BAU,164207.17188
PAK,EVval,BAU,56297.191406
PHL,EVval,BAU,98007.585938
POL,EVval,BAU,142955.67188
R_S_Asia,EVval,BAU,32777.472656
R_SE_Asia,EVval,BAU,170811.1875
Russia,EVval,BAU,575953.875
S_o_Amer,EVval,BAU,229294.1875
S_S_AFR,EVval,BAU,221408.23438
TUR,EVval,BAU,234336.35938
USA,EVval,BAU,1967651.25
VNM,EVval,BAU,61431.777344
XAC,EVval,BAU,85622.195312
