REGWLD,GDPS,SCEN,Value
ARG,GDPpct,BAU,21.250999451
BGD,GDPpct,BAU,30.785999298
BRAZIL,GDPpct,BAU,19.829999924
C_C_Amer,GDPpct,BAU,27.49200058
CAN,GDPpct,BAU,21.464000702
CHIHKG,GDPpct,BAU,51.02299881
COL,GDPpct,BAU,14.583000183
E_Asia,GDPpct,BAU,47.414001465
EGY,GDPpct,BAU,42.676998138
ETH,GDPpct,BAU,29.211999893
EU27,GDPpct,BAU,13.357000351
IDN,GDPpct,BAU,23.437999725
INDIA,GDPpct,BAU,44.785999298
JAPAN,GDPpct,BAU,10.295999527
KOR,GDPpct,BAU,27.958999634
MAR,GDPpct,BAU,25.625
MDG,GDPpct,BAU,18.829000473
MEAS_NAfr,GDPpct,BAU,17.275999069
MEX,GDPpct,BAU,21.483999252
MYS,GDPpct,BAU,29.228000641
NGA,GDPpct,BAU,55.09400177
Oceania,GDPpct,BAU,24.141000748
Oth_CEE_CIS,GDPpct,BAU,37.28099823
Oth_Europe,GDPpct,BAU,14.097999573
PAK,GDPpct,BAU,27.98500061
PHL,GDPpct,BAU,40.11000061
POL,GDPpct,BAU,30.655000687
R_S_Asia,GDPpct,BAU,29.815000534
R_SE_Asia,GDPpct,BAU,26.802000046
Russia,GDPpct,BAU,26.562999725
S_o_Amer,GDPpct,BAU,20.125999451
S_S_AFR,GDPpct,BAU,38.553001404
TUR,GDPpct,BAU,35.298000336
USA,GDPpct,BAU,13.041000366
VNM,GDPpct,BAU,36.951999664
XAC,GDPpct,BAU,49.687000275
ZAF,GDPpct,BAU,26.153999329
World,GDPpct,BAU,23.10112381
ARG,RealGDPvalch,BAU,116466.20312
BGD,RealGDPvalch,BAU,53224.421875
BRAZIL,RealGDPvalch,BAU,479300.53125
C_C_Amer,RealGDPvalch,BAU,152914.29688
CAN,RealGDPvalch,BAU,382870.375
CHIHKG,RealGDPvalch,BAU,5700457
COL,RealGDPvalch,BAU,55184.363281
E_Asia,RealGDPvalch,BAU,40368.007813
EGY,RealGDPvalch,BAU,128670.79688
ETH,RealGDPvalch,BAU,16245.40625
EU27,RealGDPvalch,BAU,2394980.25
IDN,RealGDPvalch,BAU,208710.89063
INDIA,RealGDPvalch,BAU,914727.0625
JAPAN,RealGDPvalch,BAU,473221
KOR,RealGDPvalch,BAU,394588.90625
MAR,RealGDPvalch,BAU,28189.849609
MDG,RealGDPvalch,BAU,2073.2817383
MEAS_NAfr,RealGDPvalch,BAU,529891.5
MEX,RealGDPvalch,BAU,278829.6875
MYS,RealGDPvalch,BAU,98821.007812
NGA,RealGDPvalch,BAU,313205.9375
Oceania,RealGDPvalch,BAU,411832.625
Oth_CEE_CIS,RealGDPvalch,BAU,317961.4375
Oth_Europe,RealGDPvalch,BAU,173511
PAK,RealGDPvalch,BAU,68110.734375
PHL,RealGDPvalch,BAU,114224.05469
POL,RealGDPvalch,BAU,167063.60938
R_S_Asia,RealGDPvalch,BAU,37230.121094
R_SE_Asia,RealGDPvalch,BAU,220877.23438
Russia,RealGDPvalch,BAU,539486.5625
S_o_Amer,RealGDPvalch,BAU,242952.0625
S_S_AFR,RealGDPvalch,BAU,231005.1875
TUR,RealGDPvalch,BAU,281958.34375
USA,RealGDPvalch,BAU,2262366.75
VNM,RealGDPvalch,BAU,68806.484375
XAC,RealGDPvalch,BAU,79279.40625
ZAF,RealGDPvalch,BAU,91505.242188
World,RealGDPvalch,BAU,18071112
ARG,NomGDPvalch,BAU,59683.6875
BGD,NomGDPvalch,BAU,38885.78125
BRAZIL,NomGDPvalch,BAU,293656.5
C_C_Amer,NomGDPvalch,BAU,83971.375
CAN,NomGDPvalch,BAU,266256.25
CHIHKG,NomGDPvalch,BAU,3277696
COL,NomGDPvalch,BAU,44709.40625
E_Asia,NomGDPvalch,BAU,26870.5
EGY,NomGDPvalch,BAU,92231.4375
ETH,NomGDPvalch,BAU,13448.597656
EU27,NomGDPvalch,BAU,895308
IDN,NomGDPvalch,BAU,113901.8125
INDIA,NomGDPvalch,BAU,481527
JAPAN,NomGDPvalch,BAU,58921
KOR,NomGDPvalch,BAU,210805.375
MAR,NomGDPvalch,BAU,16926.820313
MDG,NomGDPvalch,BAU,2050.2685547
MEAS_NAfr,NomGDPvalch,BAU,399814.25
MEX,NomGDPvalch,BAU,132894
MYS,NomGDPvalch,BAU,58831.84375
NGA,NomGDPvalch,BAU,264639.75
Oceania,NomGDPvalch,BAU,344401.5
Oth_CEE_CIS,NomGDPvalch,BAU,211787.6875
Oth_Europe,NomGDPvalch,BAU,100466.875
PAK,NomGDPvalch,BAU,17150.53125
PHL,NomGDPvalch,BAU,81457.90625
POL,NomGDPvalch,BAU,94458.75
R_S_Asia,NomGDPvalch,BAU,25776.53125
R_SE_Asia,NomGDPvalch,BAU,98550.125
Russia,NomGDPvalch,BAU,411605.5
S_o_Amer,NomGDPvalch,BAU,161934.5
S_S_AFR,NomGDPvalch,BAU,173910.3125
TUR,NomGDPvalch,BAU,161005.875
USA,NomGDPvalch,BAU,1346420
VNM,NomGDPvalch,BAU,48133.359375
XAC,NomGDPvalch,BAU,74973.640625
ZAF,NomGDPvalch,BAU,51732.1875
World,NomGDPvalch,BAU,10236795
ARG,GDPpct,BAU_noES,28.113981247
BGD,GDPpct,BAU_noES,41.204708099
BRAZIL,GDPpct,BAU_noES,26.193353653
C_C_Amer,GDPpct,BAU_noES,36.657196045
CAN,GDPpct,BAU_noES,28.414926529
CHIHKG,GDPpct,BAU_noES,69.883750916
COL,GDPpct,BAU_noES,19.145978928
E_Asia,GDPpct,BAU_noES,64.676353455
EGY,GDPpct,BAU_noES,57.582115173
ETH,GDPpct,BAU_noES,39.02702713
EU27,GDPpct,BAU_noES,17.494537354
IDN,GDPpct,BAU_noES,31.1667099
INDIA,GDPpct,BAU_noES,60.891349792
JAPAN,GDPpct,BAU_noES,13.435319901
KOR,GDPpct,BAU_noES,37.308010101
MAR,GDPpct,BAU_noES,34.092430115
MDG,GDPpct,BAU_noES,24.860054016
MEAS_NAfr,GDPpct,BAU_noES,22.778007507
MEX,GDPpct,BAU_noES,28.429502487
MYS,GDPpct,BAU_noES,39.056983948
NGA,GDPpct,BAU_noES,75.715370178
Oceania,GDPpct,BAU_noES,32.065856934
Oth_CEE_CIS,GDPpct,BAU_noES,50.280464172
Oth_Europe,GDPpct,BAU_noES,18.49546814
PAK,GDPpct,BAU_noES,37.337703705
PHL,GDPpct,BAU_noES,54.269203186
POL,GDPpct,BAU_noES,41.03194046
R_S_Asia,GDPpct,BAU_noES,39.863704681
R_SE_Asia,GDPpct,BAU_noES,35.717662811
Russia,GDPpct,BAU_noES,35.381980896
