REGWLD,GDPIN,SCEN,Value
ARG,Land,BAU,0.01730684936
BGD,Land,BAU,0.17477697134
BRAZIL,Land,BAU,0.01788175106
C_C_Amer,Land,BAU,0.040495321155
CAN,Land,BAU,1.51741853915155E-0003
CHIHKG,Land,BAU,4.07648878172040E-0003
COL,Land,BAU,0.029553895816
E_Asia,Land,BAU,3.14916309434921E-0004
EGY,Land,BAU,-0.037671484053
ETH,Land,BAU,0.073554083705
EU27,Land,BAU,-1.91927212290466E-0003
IDN,Land,BAU,0.37764886022
INDIA,Land,BAU,0.030937481672
JAPAN,Land,BAU,-3.49665875546634E-0003
KOR,Land,BAU,5.56959211826324E-0003
MAR,Land,BAU,0.013440171257
MDG,Land,BAU,-0.064029276371
MEAS_NAfr,Land,BAU,9.28216031752527E-0004
MEX,Land,BAU,3.72637831605971E-0003
MYS,Land,BAU,0.24217410386
NGA,Land,BAU,0.83299648762
Oceania,Land,BAU,1.01809331681579E-0003
Oth_CEE_CIS,Land,BAU,5.58470201212913E-0005
Oth_Europe,Land,BAU,-1.56596826855093E-0003
PAK,Land,BAU,0.13521569967
PHL,Land,BAU,0.023522833362
POL,Land,BAU,1.55331101268530E-0003
R_S_Asia,Land,BAU,2.45243380777538E-0003
R_SE_Asia,Land,BAU,0.11077795923
Russia,Land,BAU,9.49080917052925E-0004
S_o_Amer,Land,BAU,0.011020695791
S_S_AFR,Land,BAU,0.089946880937
TUR,Land,BAU,2.62563087744638E-0004
USA,Land,BAU,-3.92296351492405E-0004
VNM,Land,BAU,0.12390510738
XAC,Land,BAU,0.2280498147
ZAF,Land,BAU,0.015559843741
World,Land,BAU,0.017003752291
ARG,UnSkLab,BAU,5.5548462868
BGD,UnSkLab,BAU,5.8184289932
BRAZIL,UnSkLab,BAU,3.3930830956
C_C_Amer,UnSkLab,BAU,5.0007557869
CAN,UnSkLab,BAU,2.5981650352
CHIHKG,UnSkLab,BAU,-1.1906878948
COL,UnSkLab,BAU,3.6389183998
E_Asia,UnSkLab,BAU,4.5637822151
EGY,UnSkLab,BAU,4.1376771927
ETH,UnSkLab,BAU,6.0884103775
EU27,UnSkLab,BAU,-0.37433260679
IDN,UnSkLab,BAU,4.1286759377
INDIA,UnSkLab,BAU,5.3415455818
JAPAN,UnSkLab,BAU,-0.79484558105
KOR,UnSkLab,BAU,0.96447336674
MAR,UnSkLab,BAU,2.0969376564
MDG,UnSkLab,BAU,9.5338840485
MEAS_NAfr,UnSkLab,BAU,3.3209433556
MEX,UnSkLab,BAU,1.3895201683
MYS,UnSkLab,BAU,4.0575261116
NGA,UnSkLab,BAU,8.1686954498
Oceania,UnSkLab,BAU,5.4308657646
Oth_CEE_CIS,UnSkLab,BAU,0.029822655022
Oth_Europe,UnSkLab,BAU,0.86589199305
PAK,UnSkLab,BAU,1.2668524981
PHL,UnSkLab,BAU,4.4342179298
POL,UnSkLab,BAU,-1.0168502331
R_S_Asia,UnSkLab,BAU,3.5809783936
R_SE_Asia,UnSkLab,BAU,1.7858343124
Russia,UnSkLab,BAU,-0.90245878696
S_o_Amer,UnSkLab,BAU,4.4733147621
S_S_AFR,UnSkLab,BAU,8.636472702
TUR,UnSkLab,BAU,3.9486546516
USA,UnSkLab,BAU,1.6080906391
VNM,UnSkLab,BAU,1.0758606195
XAC,UnSkLab,BAU,6.9252624512
ZAF,UnSkLab,BAU,4.4925150871
World,UnSkLab,BAU,1.1600751877
ARG,SkLab,BAU,10.294605255
BGD,SkLab,BAU,9.8061733246
BRAZIL,SkLab,BAU,18.612932205
C_C_Amer,SkLab,BAU,11.340313911
CAN,SkLab,BAU,11.423299789
CHIHKG,SkLab,BAU,18.229442596
COL,SkLab,BAU,15.968441963
E_Asia,SkLab,BAU,2.6546223164
EGY,SkLab,BAU,22.728672028
ETH,SkLab,BAU,-0.44468232989
EU27,SkLab,BAU,11.799816132
IDN,SkLab,BAU,39.964279175
INDIA,SkLab,BAU,20.36992836
JAPAN,SkLab,BAU,8.0818958282
KOR,SkLab,BAU,7.1291017532
MAR,SkLab,BAU,38.146747589
MDG,SkLab,BAU,-31.279476166
MEAS_NAfr,SkLab,BAU,9.78058815
MEX,SkLab,BAU,4.813305378
MYS,SkLab,BAU,12.418741226
NGA,SkLab,BAU,69.847091675
Oceania,SkLab,BAU,-5.6007089615
Oth_CEE_CIS,SkLab,BAU,6.1279559135
Oth_Europe,SkLab,BAU,13.720245361
PAK,SkLab,BAU,9.1111907959
PHL,SkLab,BAU,7.8233737946
POL,SkLab,BAU,11.949873924
R_S_Asia,SkLab,BAU,2.1115598679
R_SE_Asia,SkLab,BAU,21.099218369
Russia,SkLab,BAU,-10.330003738
S_o_Amer,SkLab,BAU,12.446046829
S_S_AFR,SkLab,BAU,21.482025146
TUR,SkLab,BAU,8.3408088684
USA,SkLab,BAU,-8.3004131317
VNM,SkLab,BAU,29.660037994
XAC,SkLab,BAU,27.235858917
ZAF,SkLab,BAU,14.672728539
World,SkLab,BAU,8.0560436249
ARG,Capital,BAU,42.28250885
BGD,Capital,BAU,47.698143005
BRAZIL,Capital,BAU,36.463447571
C_C_Amer,Capital,BAU,57.694976807
CAN,Capital,BAU,27.767438889
CHIHKG,Capital,BAU,86.627960205
COL,Capital,BAU,39.163360596
E_Asia,Capital,BAU,113.70372772
EGY,Capital,BAU,86.251800537
ETH,Capital,BAU,52.677005768
EU27,Capital,BAU,24.510620117
IDN,Capital,BAU,48.607975006
INDIA,Capital,BAU,64.037780762
JAPAN,Capital,BAU,21.652172089
KOR,Capital,BAU,57.175788879
MAR,Capital,BAU,33.848587036
MDG,Capital,BAU,6.0301599503
MEAS_NAfr,Capital,BAU,55.775657654
MEX,Capital,BAU,61.303237915
MYS,Capital,BAU,70.16860199
NGA,Capital,BAU,63.615032196
Oceania,Capital,BAU,33.658496857
Oth_CEE_CIS,Capital,BAU,59.765014648
Oth_Europe,Capital,BAU,30.891946793
PAK,Capital,BAU,78.997055054
PHL,Capital,BAU,89.257156372
POL,Capital,BAU,62.850589752
R_S_Asia,Capital,BAU,65.411727905
R_SE_Asia,Capital,BAU,69.70539856
Russia,Capital,BAU,45.849796295
S_o_Amer,Capital,BAU,43.239959717
S_S_AFR,Capital,BAU,54.203090668
TUR,Capital,BAU,84.640472412
USA,Capital,BAU,16.303134918
VNM,Capital,BAU,59.648269653
XAC,Capital,BAU,97.142883301
ZAF,Capital,BAU,49.707130432
World,Capital,BAU,40.422950745
ARG,NatRes,BAU,1.74751392023609E-0007
BGD,NatRes,BAU,-1.86330751716923E-0007
BRAZIL,NatRes,BAU,9.99135281176677E-0008
C_C_Amer,NatRes,BAU,-5.28675736859441E-0004
CAN,NatRes,BAU,2.31788419569057E-0008
CHIHKG,NatRes,BAU,1.34983650923459E-0007
COL,NatRes,BAU,-3.35513362870188E-0007
E_Asia,NatRes,BAU,-1.71479114214890E-0005
EGY,NatRes,BAU,-4.55247288755345E-0008
ETH,NatRes,BAU,2.98665099762729E-0007
EU27,NatRes,BAU,-1.74167362274602E-0005
IDN,NatRes,BAU,-6.85587565385504E-0007
INDIA,NatRes,BAU,-1.66382875477211E-0007
JAPAN,NatRes,BAU,-1.54486983205970E-0008
KOR,NatRes,BAU,-5.45157075038105E-0009
MAR,NatRes,BAU,3.11344024339633E-0007
MDG,NatRes,BAU,-3.13955467845517E-0007
MEAS_NAfr,NatRes,BAU,-5.09829660586547E-0005
MEX,NatRes,BAU,-3.94822521343485E-0008
MYS,NatRes,BAU,1.07306561858422E-0007
NGA,NatRes,BAU,-9.14552174435812E-0007
Oceania,NatRes,BAU,1.34226829686668E-0005
Oth_CEE_CIS,NatRes,BAU,-7.21542892279103E-0005
Oth_Europe,NatRes,BAU,1.10432956716977E-0005
PAK,NatRes,BAU,-5.96459130974836E-0008
PHL,NatRes,BAU,2.89293780042499E-0007
POL,NatRes,BAU,5.90097286590208E-0008
R_S_Asia,NatRes,BAU,-1.18506228318438E-0004
R_SE_Asia,NatRes,BAU,2.72608420345932E-0004
Russia,NatRes,BAU,9.10091785044642E-0007
S_o_Amer,NatRes,BAU,-2.29421129915863E-0005
S_S_AFR,NatRes,BAU,-1.51511211879551E-0003
TUR,NatRes,BAU,-2.58908485761822E-0008
USA,NatRes,BAU,9.06974548797734E-0008
VNM,NatRes,BAU,-4.50364524340330E-0007
XAC,NatRes,BAU,6.26429255135008E-0007
ZAF,NatRes,BAU,-3.65206034302901E-0007
World,NatRes,BAU,-1.95398315554485E-0005
ARG,IndTaxes,BAU,3.4139430523
BGD,IndTaxes,BAU,1.2122181654
BRAZIL,IndTaxes,BAU,4.1619644165
C_C_Amer,IndTaxes,BAU,3.7663700581
CAN,IndTaxes,BAU,3.7365422249
CHIHKG,IndTaxes,BAU,7.1919250488
COL,IndTaxes,BAU,2.3931837082
E_Asia,IndTaxes,BAU,2.7065036297
EGY,IndTaxes,BAU,3.0689721107
ETH,IndTaxes,BAU,2.0624098778
EU27,IndTaxes,BAU,2.6677114964
IDN,IndTaxes,BAU,2.7548761368
INDIA,IndTaxes,BAU,3.8337397575
JAPAN,IndTaxes,BAU,1.3028066158
KOR,IndTaxes,BAU,4.0047683716
MAR,IndTaxes,BAU,2.3396883011
MDG,IndTaxes,BAU,0.25688737631
MEAS_NAfr,IndTaxes,BAU,2.4034414291
MEX,IndTaxes,BAU,3.1212477684
MYS,IndTaxes,BAU,2.8113572598
NGA,IndTaxes,BAU,4.4679203033
Oceania,IndTaxes,BAU,3.1416883469
Oth_CEE_CIS,IndTaxes,BAU,4.7545099258
Oth_Europe,IndTaxes,BAU,2.6984386444
PAK,IndTaxes,BAU,1.5192476511
PHL,IndTaxes,BAU,4.5733237267
POL,IndTaxes,BAU,4.4148840904
R_S_Asia,IndTaxes,BAU,5.2516088486
R_SE_Asia,IndTaxes,BAU,4.152806282
Russia,IndTaxes,BAU,4.4316468239
S_o_Amer,IndTaxes,BAU,2.6523270607
S_S_AFR,IndTaxes,BAU,5.303360939
TUR,IndTaxes,BAU,5.3439507484
USA,IndTaxes,BAU,0.77053469419
VNM,IndTaxes,BAU,7.6453151703
XAC,IndTaxes,BAU,6.1901311874
ZAF,IndTaxes,BAU,5.4577951431
World,IndTaxes,BAU,3.1195888519
ARG,TechChange,BAU,4.3071446419
BGD,TechChange,BAU,14.050578117
BRAZIL,TechChange,BAU,2.2344894409
C_C_Amer,TechChange,BAU,6.7517228127
CAN,TechChange,BAU,8.962767601
CHIHKG,TechChange,BAU,20.186006546
COL,TechChange,BAU,-1.9797229767
E_Asia,TechChange,BAU,15.973552704
EGY,TechChange,BAU,13.749801636
ETH,TechChange,BAU,12.567477226
EU27,TechChange,BAU,2.7677247524
IDN,TechChange,BAU,-1.4476653337
INDIA,TechChange,BAU,20.022418976
JAPAN,TechChange,BAU,2.3904287815
KOR,TechChange,BAU,9.4970817566
MAR,TechChange,BAU,6.5859827995
MDG,TechChange,BAU,22.451080322
MEAS_NAfr,TechChange,BAU,-1.135368824
MEX,TechChange,BAU,2.8252077103
MYS,TechChange,BAU,6.6055641174
NGA,TechChange,BAU,18.186555862
Oceania,TechChange,BAU,13.587505341
Oth_CEE_CIS,TechChange,BAU,17.815076828
Oth_Europe,TechChange,BAU,1.8127937317
PAK,TechChange,BAU,4.5546636581
PHL,TechChange,BAU,12.267243385
POL,TechChange,BAU,9.1306915283
R_S_Asia,TechChange,BAU,8.2206029892
