ENDW,AREGWLD,ENDWRES,SCEN,Value
AEZ1,HighIncome,pe,BAU,173.63597107
AEZ2,HighIncome,pe,BAU,186.81144714
AEZ3,HighIncome,pe,BAU,180.96759033
AEZ4,HighIncome,pe,BAU,67.847351074
AEZ5,HighIncome,pe,BAU,90.248184204
AEZ6,HighIncome,pe,BAU,79.577407837
AEZ7,HighIncome,pe,BAU,72.337890625
AEZ8,HighIncome,pe,BAU,79.447669983
AEZ9,HighIncome,pe,BAU,102.56787109
AEZ10,HighIncome,pe,BAU,106.68843842
AEZ11,HighIncome,pe,BAU,95.645263672
AEZ12,HighIncome,pe,BAU,99.817367554
AEZ13,HighIncome,pe,BAU,137.77732849
AEZ14,HighIncome,pe,BAU,137.80764771
AEZ15,HighIncome,pe,BAU,148.10011292
AEZ16,HighIncome,pe,BAU,143.32574463
AEZ17,HighIncome,pe,BAU,148.10011292
AEZ18,HighIncome,pe,BAU,148.10011292
UnSkLab,HighIncome,pe,BAU,7.47723830863833E-0003
SkLab,HighIncome,pe,BAU,-1.2677770853
Capital,HighIncome,pe,BAU,-14.930911064
NatRes,HighIncome,pe,BAU,138.102005
AEZ1,MidIncome,pe,BAU,98.378677368
AEZ2,MidIncome,pe,BAU,177.13674927
AEZ3,MidIncome,pe,BAU,91.560203552
AEZ4,MidIncome,pe,BAU,127.90539551
AEZ5,MidIncome,pe,BAU,135.04310608
AEZ6,MidIncome,pe,BAU,63.001369476
AEZ7,MidIncome,pe,BAU,91.939880371
AEZ8,MidIncome,pe,BAU,51.262142181
AEZ9,MidIncome,pe,BAU,41.408466339
AEZ10,MidIncome,pe,BAU,36.82692337
AEZ11,MidIncome,pe,BAU,34.620071411
AEZ12,MidIncome,pe,BAU,31.86374855
AEZ13,MidIncome,pe,BAU,38.692432404
AEZ14,MidIncome,pe,BAU,29.822320938
AEZ15,MidIncome,pe,BAU,35.760295868
AEZ16,MidIncome,pe,BAU,60.994049072
AEZ17,MidIncome,pe,BAU,35.021099091
AEZ18,MidIncome,pe,BAU,32.471569061
UnSkLab,MidIncome,pe,BAU,11.543559074
SkLab,MidIncome,pe,BAU,4.0288238525
Capital,MidIncome,pe,BAU,-13.839616776
NatRes,MidIncome,pe,BAU,114.98146057
AEZ1,LowIncome,pe,BAU,66.156005859
AEZ2,LowIncome,pe,BAU,66.080833435
AEZ3,LowIncome,pe,BAU,57.402809143
AEZ4,LowIncome,pe,BAU,64.855056763
AEZ5,LowIncome,pe,BAU,64.150444031
AEZ6,LowIncome,pe,BAU,50.46062088
AEZ7,LowIncome,pe,BAU,29.303218842
AEZ8,LowIncome,pe,BAU,26.005502701
AEZ9,LowIncome,pe,BAU,35.923080444
AEZ10,LowIncome,pe,BAU,34.385948181
AEZ11,LowIncome,pe,BAU,46.8554039
AEZ12,LowIncome,pe,BAU,37.184505463
AEZ13,LowIncome,pe,BAU,63.161781311
AEZ14,LowIncome,pe,BAU,35.335277557
AEZ15,LowIncome,pe,BAU,34.352954865
AEZ16,LowIncome,pe,BAU,47.475013733
AEZ17,LowIncome,pe,BAU,70.519844055
AEZ18,LowIncome,pe,BAU,70.63873291
UnSkLab,LowIncome,pe,BAU,4.7959690094
SkLab,LowIncome,pe,BAU,4.9549798965
Capital,LowIncome,pe,BAU,-6.5998244286
NatRes,LowIncome,pe,BAU,80.990005493
AEZ1,World,pe,BAU,102.32681274
AEZ2,World,pe,BAU,173.1423645
AEZ3,World,pe,BAU,96.011299133
AEZ4,World,pe,BAU,110.69402313
AEZ5,World,pe,BAU,126.62297058
AEZ6,World,pe,BAU,64.159835815
AEZ7,World,pe,BAU,86.576850891
AEZ8,World,pe,BAU,45.526390076
AEZ9,World,pe,BAU,40.918907166
AEZ10,World,pe,BAU,36.516620636
AEZ11,World,pe,BAU,41.142292023
AEZ12,World,pe,BAU,32.960720062
AEZ13,World,pe,BAU,46.389778137
AEZ14,World,pe,BAU,33.396507263
AEZ15,World,pe,BAU,36.489776611
AEZ16,World,pe,BAU,60.921966553
AEZ17,World,pe,BAU,52.550468445
AEZ18,World,pe,BAU,51.867103577
UnSkLab,World,pe,BAU,7.4521799088
SkLab,World,pe,BAU,4.4595537186
Capital,World,pe,BAU,-10.162806511
NatRes,World,pe,BAU,108.48625946
AEZ1,HighIncome,qe,BAU,0.39035826921
AEZ2,HighIncome,qe,BAU,0.70748507977
AEZ3,HighIncome,qe,BAU,2.6403801441
AEZ4,HighIncome,qe,BAU,2.8924715519
AEZ5,HighIncome,qe,BAU,1.8785668612
AEZ6,HighIncome,qe,BAU,0.40863871574
AEZ7,HighIncome,qe,BAU,0.13476859033
AEZ8,HighIncome,qe,BAU,0.074183493853
AEZ9,HighIncome,qe,BAU,0.074775695801
AEZ10,HighIncome,qe,BAU,0.10241035372
AEZ11,HighIncome,qe,BAU,0.10475967824
AEZ12,HighIncome,qe,BAU,-3.39428219012916E-0003
UnSkLab,HighIncome,qe,BAU,13.8125
SkLab,HighIncome,qe,BAU,14.347101212
Capital,HighIncome,qe,BAU,35.490585327
AEZ1,MidIncome,qe,BAU,0.048541542143
AEZ2,MidIncome,qe,BAU,2.3331038952
AEZ3,MidIncome,qe,BAU,1.4652407169
AEZ4,MidIncome,qe,BAU,2.5998988152
AEZ5,MidIncome,qe,BAU,2.2277503014
AEZ6,MidIncome,qe,BAU,4.5996541977
AEZ7,MidIncome,qe,BAU,0.16009505093
AEZ8,MidIncome,qe,BAU,0.36316221952
AEZ9,MidIncome,qe,BAU,0.19947759807
AEZ10,MidIncome,qe,BAU,0.090176038444
AEZ11,MidIncome,qe,BAU,0.04461639747
AEZ12,MidIncome,qe,BAU,0.070429965854
AEZ13,MidIncome,qe,BAU,2.53753294236958E-0003
AEZ14,MidIncome,qe,BAU,0.019042883068
AEZ15,MidIncome,qe,BAU,0.10748074204
AEZ16,MidIncome,qe,BAU,1.27294726553373E-0004
AEZ17,MidIncome,qe,BAU,1.80577862920472E-0005
AEZ18,MidIncome,qe,BAU,1.75243476405740E-0005
UnSkLab,MidIncome,qe,BAU,3.501376152
SkLab,MidIncome,qe,BAU,11.450021744
Capital,MidIncome,qe,BAU,39.127365112
AEZ1,LowIncome,qe,BAU,8.03837925195694E-0003
AEZ2,LowIncome,qe,BAU,6.08006864786148E-0003
AEZ3,LowIncome,qe,BAU,9.49208624660969E-0003
AEZ4,LowIncome,qe,BAU,1.40139646828175E-0003
AEZ5,LowIncome,qe,BAU,1.43874000059441E-0004
AEZ6,LowIncome,qe,BAU,1.66309974156320E-0003
AEZ7,LowIncome,qe,BAU,0.08654499799
AEZ8,LowIncome,qe,BAU,0.26391625404
AEZ9,LowIncome,qe,BAU,0.11466803402
AEZ10,LowIncome,qe,BAU,0.24001201987
AEZ11,LowIncome,qe,BAU,0.20060643554
AEZ12,LowIncome,qe,BAU,0.045697458088
AEZ13,LowIncome,qe,BAU,9.59804128797259E-0006
AEZ14,LowIncome,qe,BAU,0.044108428061
AEZ15,LowIncome,qe,BAU,0.074401557446
AEZ16,LowIncome,qe,BAU,9.06966917682439E-0004
UnSkLab,LowIncome,qe,BAU,1.8011599779
SkLab,LowIncome,qe,BAU,0.9208163023
Capital,LowIncome,qe,BAU,15.96813488
AEZ1,World,qe,BAU,0.087077818811
AEZ2,World,qe,BAU,2.1009294987
AEZ3,World,qe,BAU,1.5211416483
AEZ4,World,qe,BAU,2.6535081863
AEZ5,World,qe,BAU,2.1509871483
AEZ6,World,qe,BAU,4.18689394
AEZ7,World,qe,BAU,0.15451093018
AEZ8,World,qe,BAU,0.33361953497
AEZ9,World,qe,BAU,0.18280445039
AEZ10,World,qe,BAU,0.16605468094
AEZ11,World,qe,BAU,0.11067486554
AEZ12,World,qe,BAU,0.067017450929
AEZ13,World,qe,BAU,2.00871168635786E-0003
AEZ14,World,qe,BAU,0.024494819343
AEZ15,World,qe,BAU,0.092988431454
AEZ16,World,qe,BAU,2.29141718591563E-0004
AEZ17,World,qe,BAU,1.13729111035354E-0005
AEZ18,World,qe,BAU,1.06940133264288E-0005
UnSkLab,World,qe,BAU,2.7076897621
SkLab,World,qe,BAU,5.0908107758
Capital,World,qe,BAU,26.42398262
AEZ1,HighIncome,pe,BAU_noES,153.34840393
AEZ2,HighIncome,pe,BAU_noES,162.06962585
