ENDW,REG,ENDWRES,SCEN,Value
AEZ1,ARG,pe,BAU,19328.451172
AEZ2,ARG,pe,BAU,19328.451172
AEZ3,ARG,pe,BAU,27.652988434
AEZ4,ARG,pe,BAU,36.930332184
AEZ5,ARG,pe,BAU,36.130905151
AEZ6,ARG,pe,BAU,40.281467438
AEZ7,ARG,pe,BAU,35.901252747
AEZ8,ARG,pe,BAU,35.005115509
AEZ9,ARG,pe,BAU,43.454574585
AEZ10,ARG,pe,BAU,44.511768341
AEZ11,ARG,pe,BAU,43.502708435
AEZ12,ARG,pe,BAU,40.964969635
AEZ13,ARG,pe,BAU,26.980995178
AEZ14,ARG,pe,BAU,25.559959412
AEZ15,ARG,pe,BAU,26.319570541
AEZ16,ARG,pe,BAU,27.627040863
AEZ17,ARG,pe,BAU,19328.447266
AEZ18,ARG,pe,BAU,27.415462494
UnSkLab,ARG,pe,BAU,0.6783875823
SkLab,ARG,pe,BAU,-2.3964757919
Capital,ARG,pe,BAU,-12.019218445
NatRes,ARG,pe,BAU,84.772369385
AEZ1,BGD,pe,BAU,19235.513672
AEZ2,BGD,pe,BAU,19235.513672
AEZ3,BGD,pe,BAU,19235.513672
AEZ4,BGD,pe,BAU,43.5691185
AEZ5,BGD,pe,BAU,42.986557007
AEZ6,BGD,pe,BAU,19235.513672
AEZ7,BGD,pe,BAU,19235.513672
AEZ8,BGD,pe,BAU,19235.513672
AEZ9,BGD,pe,BAU,19235.513672
AEZ10,BGD,pe,BAU,42.616012573
AEZ11,BGD,pe,BAU,44.052825928
AEZ12,BGD,pe,BAU,19235.513672
AEZ13,BGD,pe,BAU,19235.513672
AEZ14,BGD,pe,BAU,19235.513672
AEZ15,BGD,pe,BAU,19235.513672
AEZ16,BGD,pe,BAU,19235.513672
AEZ17,BGD,pe,BAU,19235.513672
AEZ18,BGD,pe,BAU,19235.513672
UnSkLab,BGD,pe,BAU,6.9429626465
SkLab,BGD,pe,BAU,8.152056694
Capital,BGD,pe,BAU,-6.6111187935
NatRes,BGD,pe,BAU,214.41253662
AEZ1,BRAZIL,pe,BAU,113138.32031
AEZ2,BRAZIL,pe,BAU,63.885566711
AEZ3,BRAZIL,pe,BAU,60.8764534
AEZ4,BRAZIL,pe,BAU,64.261802673
AEZ5,BRAZIL,pe,BAU,65.120567322
AEZ6,BRAZIL,pe,BAU,56.869232178
AEZ7,BRAZIL,pe,BAU,113138.32031
AEZ8,BRAZIL,pe,BAU,113138.32031
AEZ9,BRAZIL,pe,BAU,113138.32031
AEZ10,BRAZIL,pe,BAU,71.167602539
AEZ11,BRAZIL,pe,BAU,68.002540588
AEZ12,BRAZIL,pe,BAU,66.726325989
AEZ13,BRAZIL,pe,BAU,113138.32031
AEZ14,BRAZIL,pe,BAU,113138.32031
AEZ15,BRAZIL,pe,BAU,113138.32031
AEZ16,BRAZIL,pe,BAU,113138.32031
AEZ17,BRAZIL,pe,BAU,113138.32031
AEZ18,BRAZIL,pe,BAU,113138.32031
UnSkLab,BRAZIL,pe,BAU,2.6375544071
SkLab,BRAZIL,pe,BAU,-4.0508275032
Capital,BRAZIL,pe,BAU,-10.925625801
NatRes,BRAZIL,pe,BAU,131.86401367
AEZ1,C_C_Amer,pe,BAU,38.561389923
AEZ2,C_C_Amer,pe,BAU,38.570285797
AEZ3,C_C_Amer,pe,BAU,38.460597992
AEZ4,C_C_Amer,pe,BAU,39.120986938
AEZ5,C_C_Amer,pe,BAU,38.687576294
AEZ6,C_C_Amer,pe,BAU,45.788631439
AEZ7,C_C_Amer,pe,BAU,38.572887421
AEZ8,C_C_Amer,pe,BAU,38.586139679
AEZ9,C_C_Amer,pe,BAU,38.596141815
AEZ10,C_C_Amer,pe,BAU,37.938446045
AEZ11,C_C_Amer,pe,BAU,37.786472321
AEZ12,C_C_Amer,pe,BAU,39.336925507
AEZ13,C_C_Amer,pe,BAU,38.561389923
AEZ14,C_C_Amer,pe,BAU,38.561389923
AEZ15,C_C_Amer,pe,BAU,38.561389923
AEZ16,C_C_Amer,pe,BAU,38.561389923
AEZ17,C_C_Amer,pe,BAU,38.561389923
AEZ18,C_C_Amer,pe,BAU,38.561389923
UnSkLab,C_C_Amer,pe,BAU,1.7816543579
SkLab,C_C_Amer,pe,BAU,2.4347817898
Capital,C_C_Amer,pe,BAU,-11.414773941
NatRes,C_C_Amer,pe,BAU,100.07025146
AEZ1,CAN,pe,BAU,14.997227669
AEZ2,CAN,pe,BAU,14.997227669
AEZ3,CAN,pe,BAU,14.997227669
AEZ4,CAN,pe,BAU,14.997227669
AEZ5,CAN,pe,BAU,14.997227669
AEZ6,CAN,pe,BAU,14.997227669
AEZ7,CAN,pe,BAU,14.997227669
AEZ8,CAN,pe,BAU,67.545677185
AEZ9,CAN,pe,BAU,37.236557007
AEZ10,CAN,pe,BAU,39.669548035
AEZ11,CAN,pe,BAU,23.219280243
AEZ12,CAN,pe,BAU,15.009474754
AEZ13,CAN,pe,BAU,14.8510952
AEZ14,CAN,pe,BAU,21.100757599
AEZ15,CAN,pe,BAU,25.80970192
AEZ16,CAN,pe,BAU,24.03194809
AEZ17,CAN,pe,BAU,14.997227669
AEZ18,CAN,pe,BAU,14.997227669
UnSkLab,CAN,pe,BAU,6.8528695107
SkLab,CAN,pe,BAU,5.4256567955
Capital,CAN,pe,BAU,-4.1261143684
NatRes,CAN,pe,BAU,71.489128113
AEZ1,CHIHKG,pe,BAU,28.625368118
AEZ2,CHIHKG,pe,BAU,28.625368118
AEZ3,CHIHKG,pe,BAU,28.625368118
AEZ4,CHIHKG,pe,BAU,28.509794235
AEZ5,CHIHKG,pe,BAU,27.100538254
AEZ6,CHIHKG,pe,BAU,30.269460678
AEZ7,CHIHKG,pe,BAU,34.17049408
AEZ8,CHIHKG,pe,BAU,35.435180664
AEZ9,CHIHKG,pe,BAU,26.706886292
AEZ10,CHIHKG,pe,BAU,28.273311615
AEZ11,CHIHKG,pe,BAU,30.358608246
AEZ12,CHIHKG,pe,BAU,26.514631271
AEZ13,CHIHKG,pe,BAU,39.771350861
AEZ14,CHIHKG,pe,BAU,41.809104919
AEZ15,CHIHKG,pe,BAU,58.162685394
AEZ16,CHIHKG,pe,BAU,66.474731445
AEZ17,CHIHKG,pe,BAU,35.463611603
AEZ18,CHIHKG,pe,BAU,28.723630905
UnSkLab,CHIHKG,pe,BAU,23.839019775
SkLab,CHIHKG,pe,BAU,10.729202271
Capital,CHIHKG,pe,BAU,-15.142120361
NatRes,CHIHKG,pe,BAU,186.32449341
AEZ1,COL,pe,BAU,26.780094147
AEZ2,COL,pe,BAU,26.781635284
AEZ3,COL,pe,BAU,28.349721909
AEZ4,COL,pe,BAU,28.303945541
AEZ5,COL,pe,BAU,29.192623138
AEZ6,COL,pe,BAU,32.825111389
AEZ7,COL,pe,BAU,30.381856918
AEZ8,COL,pe,BAU,29.160291672
AEZ9,COL,pe,BAU,33.315734863
AEZ10,COL,pe,BAU,4821.9155273
AEZ11,COL,pe,BAU,30.481271744
AEZ12,COL,pe,BAU,31.581945419
AEZ13,COL,pe,BAU,4821.9155273
AEZ14,COL,pe,BAU,4821.9155273
AEZ15,COL,pe,BAU,4821.9155273
AEZ16,COL,pe,BAU,4821.9155273
AEZ17,COL,pe,BAU,4821.9155273
AEZ18,COL,pe,BAU,4821.9155273
UnSkLab,COL,pe,BAU,-0.5171380043
SkLab,COL,pe,BAU,-5.7200222015
Capital,COL,pe,BAU,-8.0405092239
NatRes,COL,pe,BAU,61.861698151
AEZ1,E_Asia,pe,BAU,16.822677612
AEZ2,E_Asia,pe,BAU,16.822677612
AEZ3,E_Asia,pe,BAU,16.822677612
AEZ4,E_Asia,pe,BAU,16.822677612
AEZ5,E_Asia,pe,BAU,16.822677612
AEZ6,E_Asia,pe,BAU,16.822677612
AEZ7,E_Asia,pe,BAU,61.767593384
AEZ8,E_Asia,pe,BAU,57.045009613
AEZ9,E_Asia,pe,BAU,59.483943939
