ENDW,AACT,AREGWLD,FACRES,SCEN,Value
AEZ1,AgrFishFor,HighIncome,pfe,BAU,163.62025452
AEZ2,AgrFishFor,HighIncome,pfe,BAU,184.30697632
AEZ3,AgrFishFor,HighIncome,pfe,BAU,180.22029114
AEZ4,AgrFishFor,HighIncome,pfe,BAU,68.106643677
AEZ5,AgrFishFor,HighIncome,pfe,BAU,90.423706055
AEZ6,AgrFishFor,HighIncome,pfe,BAU,79.457069397
AEZ7,AgrFishFor,HighIncome,pfe,BAU,70.416404724
AEZ8,AgrFishFor,HighIncome,pfe,BAU,77.400444031
AEZ9,AgrFishFor,HighIncome,pfe,BAU,99.698234558
AEZ10,AgrFishFor,HighIncome,pfe,BAU,105.89244843
AEZ11,AgrFishFor,HighIncome,pfe,BAU,95.453269958
AEZ12,AgrFishFor,HighIncome,pfe,BAU,98.932052612
AEZ13,AgrFishFor,HighIncome,pfe,BAU,119.25424194
AEZ14,AgrFishFor,HighIncome,pfe,BAU,118.51750183
AEZ15,AgrFishFor,HighIncome,pfe,BAU,124.54270172
AEZ16,AgrFishFor,HighIncome,pfe,BAU,121.966362
AEZ17,AgrFishFor,HighIncome,pfe,BAU,124.54270172
AEZ18,AgrFishFor,HighIncome,pfe,BAU,124.54270172
UnSkLab,AgrFishFor,HighIncome,pfe,BAU,-0.77030068636
SkLab,AgrFishFor,HighIncome,pfe,BAU,3.4158167839
Capital,AgrFishFor,HighIncome,pfe,BAU,-11.915320396
NatRes,AgrFishFor,HighIncome,pfe,BAU,143.53170776
AEZ1,MinManuf,HighIncome,pfe,BAU,46.427810669
AEZ2,MinManuf,HighIncome,pfe,BAU,51.473480225
AEZ3,MinManuf,HighIncome,pfe,BAU,49.367103577
AEZ4,MinManuf,HighIncome,pfe,BAU,47.118011475
AEZ5,MinManuf,HighIncome,pfe,BAU,49.060581207
AEZ6,MinManuf,HighIncome,pfe,BAU,50.873550415
AEZ7,MinManuf,HighIncome,pfe,BAU,49.396137238
AEZ8,MinManuf,HighIncome,pfe,BAU,49.585025787
AEZ9,MinManuf,HighIncome,pfe,BAU,55.769611359
AEZ10,MinManuf,HighIncome,pfe,BAU,51.02910614
AEZ11,MinManuf,HighIncome,pfe,BAU,51.227378845
AEZ12,MinManuf,HighIncome,pfe,BAU,51.089923859
AEZ13,MinManuf,HighIncome,pfe,BAU,48.980960846
AEZ14,MinManuf,HighIncome,pfe,BAU,48.979282379
AEZ15,MinManuf,HighIncome,pfe,BAU,48.369239807
AEZ16,MinManuf,HighIncome,pfe,BAU,49.263694763
AEZ17,MinManuf,HighIncome,pfe,BAU,48.369239807
AEZ18,MinManuf,HighIncome,pfe,BAU,48.369239807
UnSkLab,MinManuf,HighIncome,pfe,BAU,0.18634989858
SkLab,MinManuf,HighIncome,pfe,BAU,-3.9602160454
Capital,MinManuf,HighIncome,pfe,BAU,-15.785611153
NatRes,MinManuf,HighIncome,pfe,BAU,136.57498169
AEZ1,Services,HighIncome,pfe,BAU,15.706988335
AEZ2,Services,HighIncome,pfe,BAU,17.285528183
AEZ3,Services,HighIncome,pfe,BAU,16.630451202
AEZ4,Services,HighIncome,pfe,BAU,15.924833298
AEZ5,Services,HighIncome,pfe,BAU,16.53465271
AEZ6,Services,HighIncome,pfe,BAU,17.099514008
AEZ7,Services,HighIncome,pfe,BAU,16.639509201
AEZ8,Services,HighIncome,pfe,BAU,16.698472977
AEZ9,Services,HighIncome,pfe,BAU,18.604879379
AEZ10,Services,HighIncome,pfe,BAU,17.147779465
AEZ11,Services,HighIncome,pfe,BAU,17.209264755
AEZ12,Services,HighIncome,pfe,BAU,17.166641235
AEZ13,Services,HighIncome,pfe,BAU,16.509744644
AEZ14,Services,HighIncome,pfe,BAU,16.509216309
AEZ15,Services,HighIncome,pfe,BAU,16.318162918
AEZ16,Services,HighIncome,pfe,BAU,16.598136902
AEZ17,Services,HighIncome,pfe,BAU,16.318161011
AEZ18,Services,HighIncome,pfe,BAU,16.318162918
UnSkLab,Services,HighIncome,pfe,BAU,0.051458284259
SkLab,Services,HighIncome,pfe,BAU,-2.4174134731
Capital,Services,HighIncome,pfe,BAU,-15.074264526
NatRes,Services,HighIncome,pfe,BAU,54.803642273
AEZ1,AgrFishFor,MidIncome,pfe,BAU,99.375541687
AEZ2,AgrFishFor,MidIncome,pfe,BAU,178.81097412
AEZ3,AgrFishFor,MidIncome,pfe,BAU,92.456497192
AEZ4,AgrFishFor,MidIncome,pfe,BAU,129.26226807
AEZ5,AgrFishFor,MidIncome,pfe,BAU,136.42732239
AEZ6,AgrFishFor,MidIncome,pfe,BAU,63.105426788
AEZ7,AgrFishFor,MidIncome,pfe,BAU,93.306594849
AEZ8,AgrFishFor,MidIncome,pfe,BAU,51.60572052
AEZ9,AgrFishFor,MidIncome,pfe,BAU,42.846187592
AEZ10,AgrFishFor,MidIncome,pfe,BAU,38.595066071
AEZ11,AgrFishFor,MidIncome,pfe,BAU,35.967903137
AEZ12,AgrFishFor,MidIncome,pfe,BAU,32.744049072
AEZ13,AgrFishFor,MidIncome,pfe,BAU,41.385246277
AEZ14,AgrFishFor,MidIncome,pfe,BAU,31.551145554
AEZ15,AgrFishFor,MidIncome,pfe,BAU,38.080341339
AEZ16,AgrFishFor,MidIncome,pfe,BAU,62.116760254
AEZ17,AgrFishFor,MidIncome,pfe,BAU,40.51348114
AEZ18,AgrFishFor,MidIncome,pfe,BAU,38.729167938
UnSkLab,AgrFishFor,MidIncome,pfe,BAU,16.338331223
SkLab,AgrFishFor,MidIncome,pfe,BAU,1.7888048887
Capital,AgrFishFor,MidIncome,pfe,BAU,-14.206768036
NatRes,AgrFishFor,MidIncome,pfe,BAU,162.22698975
AEZ1,MinManuf,MidIncome,pfe,BAU,47.935176849
AEZ2,MinManuf,MidIncome,pfe,BAU,47.716941833
AEZ3,MinManuf,MidIncome,pfe,BAU,48.224376678
AEZ4,MinManuf,MidIncome,pfe,BAU,48.496154785
AEZ5,MinManuf,MidIncome,pfe,BAU,48.891983032
AEZ6,MinManuf,MidIncome,pfe,BAU,47.293144226
AEZ7,MinManuf,MidIncome,pfe,BAU,49.474822998
AEZ8,MinManuf,MidIncome,pfe,BAU,48.051273346
AEZ9,MinManuf,MidIncome,pfe,BAU,48.778045654
AEZ10,MinManuf,MidIncome,pfe,BAU,49.093894958
AEZ11,MinManuf,MidIncome,pfe,BAU,51.447780609
AEZ12,MinManuf,MidIncome,pfe,BAU,50.393287659
AEZ13,MinManuf,MidIncome,pfe,BAU,50.244285583
AEZ14,MinManuf,MidIncome,pfe,BAU,50.175762177
AEZ15,MinManuf,MidIncome,pfe,BAU,50.362789154
AEZ16,MinManuf,MidIncome,pfe,BAU,49.82542038
AEZ17,MinManuf,MidIncome,pfe,BAU,49.465713501
AEZ18,MinManuf,MidIncome,pfe,BAU,48.573577881
UnSkLab,MinManuf,MidIncome,pfe,BAU,16.169338226
SkLab,MinManuf,MidIncome,pfe,BAU,5.3507390022
Capital,MinManuf,MidIncome,pfe,BAU,-14.867527962
NatRes,MinManuf,MidIncome,pfe,BAU,110.53842926
AEZ1,Services,MidIncome,pfe,BAU,16.524171829
AEZ2,Services,MidIncome,pfe,BAU,16.455394745
AEZ3,Services,MidIncome,pfe,BAU,16.615236282
AEZ4,Services,MidIncome,pfe,BAU,16.700716019
AEZ5,Services,MidIncome,pfe,BAU,16.825029373
AEZ6,Services,MidIncome,pfe,BAU,16.321647644
AEZ7,Services,MidIncome,pfe,BAU,17.007722855
AEZ8,Services,MidIncome,pfe,BAU,16.560741425
AEZ9,Services,MidIncome,pfe,BAU,16.789262772
AEZ10,Services,MidIncome,pfe,BAU,16.886035919
AEZ11,Services,MidIncome,pfe,BAU,17.622219086
AEZ12,Services,MidIncome,pfe,BAU,17.29476738
AEZ13,Services,MidIncome,pfe,BAU,17.248260498
AEZ14,Services,MidIncome,pfe,BAU,17.226867676
AEZ15,Services,MidIncome,pfe,BAU,17.285238266
AEZ16,Services,MidIncome,pfe,BAU,17.117408752
AEZ17,Services,MidIncome,pfe,BAU,17.004867554
AEZ18,Services,MidIncome,pfe,BAU,16.725030899
UnSkLab,Services,MidIncome,pfe,BAU,10.182822227
SkLab,Services,MidIncome,pfe,BAU,4.0174036026
Capital,Services,MidIncome,pfe,BAU,-13.356770515
NatRes,Services,MidIncome,pfe,BAU,51.900249481
AEZ1,AgrFishFor,LowIncome,pfe,BAU,35.100296021
AEZ2,AgrFishFor,LowIncome,pfe,BAU,35.166671753
AEZ3,AgrFishFor,LowIncome,pfe,BAU,26.862670898
AEZ4,AgrFishFor,LowIncome,pfe,BAU,36.09444809
AEZ5,AgrFishFor,LowIncome,pfe,BAU,37.467983246
AEZ6,AgrFishFor,LowIncome,pfe,BAU,25.281917572
AEZ7,AgrFishFor,LowIncome,pfe,BAU,18.409063339
AEZ8,AgrFishFor,LowIncome,pfe,BAU,23.481590271
AEZ9,AgrFishFor,LowIncome,pfe,BAU,32.12159729
AEZ10,AgrFishFor,LowIncome,pfe,BAU,32.284072876
AEZ11,AgrFishFor,LowIncome,pfe,BAU,44.413311005
AEZ12,AgrFishFor,LowIncome,pfe,BAU,31.195306778
AEZ13,AgrFishFor,LowIncome,pfe,BAU,32.8396492
AEZ14,AgrFishFor,LowIncome,pfe,BAU,22.395057678
AEZ15,AgrFishFor,LowIncome,pfe,BAU,25.772426605
AEZ16,AgrFishFor,LowIncome,pfe,BAU,26.486309052
AEZ17,AgrFishFor,LowIncome,pfe,BAU,41.677303314
AEZ18,AgrFishFor,LowIncome,pfe,BAU,41.043716431
UnSkLab,AgrFishFor,LowIncome,pfe,BAU,4.6051311493
SkLab,AgrFishFor,LowIncome,pfe,BAU,2.3945343494
Capital,AgrFishFor,LowIncome,pfe,BAU,-6.2199440002
NatRes,AgrFishFor,LowIncome,pfe,BAU,110.65798187
