AACT,AREGWLD,RACTRES,SCEN,Value
AgrFishFor,HighIncome,po,BAU,1.7960480452
MinManuf,HighIncome,po,BAU,-7.9667954445
Services,HighIncome,po,BAU,-11.202017784
AgrFishFor,MidIncome,po,BAU,-6.6695389748
MinManuf,MidIncome,po,BAU,-8.8728027344
Services,MidIncome,po,BAU,-9.4588623047
AgrFishFor,LowIncome,po,BAU,-7.2821350098
MinManuf,LowIncome,po,BAU,-6.6716709137
Services,LowIncome,po,BAU,-5.3668298721
AgrFishFor,World,po,BAU,16.396770477
MinManuf,World,po,BAU,18.359775543
Services,World,po,BAU,18.495620728
AgrFishFor,HighIncome,qo,BAU,17.693386078
MinManuf,HighIncome,qo,BAU,24.308149338
Services,HighIncome,qo,BAU,32.20539856
AgrFishFor,MidIncome,qo,BAU,19.929410934
MinManuf,MidIncome,qo,BAU,29.186059952
Services,MidIncome,qo,BAU,30.586572647
AgrFishFor,LowIncome,qo,BAU,10.147519112
MinManuf,LowIncome,qo,BAU,5.6125450134
Services,LowIncome,qo,BAU,11.587753296
AgrFishFor,World,qo,BAU,16.396770477
MinManuf,World,qo,BAU,18.359775543
Services,World,qo,BAU,18.495620728
AgrFishFor,HighIncome,po,BAU_noES,9.944984436
MinManuf,HighIncome,po,BAU_noES,-0.77334481478
Services,HighIncome,po,BAU_noES,-17.873464584
AgrFishFor,MidIncome,po,BAU_noES,-2.7866978645
MinManuf,MidIncome,po,BAU_noES,-3.03104496
Services,MidIncome,po,BAU_noES,-14.670639038
AgrFishFor,LowIncome,po,BAU_noES,-7.9167437553
MinManuf,LowIncome,po,BAU_noES,-2.8748683929
Services,LowIncome,po,BAU_noES,-8.3277873993
AgrFishFor,World,po,BAU_noES,21.856790543
MinManuf,World,po,BAU_noES,24.558795929
Services,World,po,BAU_noES,26.364345551
AgrFishFor,HighIncome,qo,BAU_noES,22.799097061
MinManuf,HighIncome,qo,BAU_noES,20.024541855
Services,HighIncome,qo,BAU_noES,47.016086578
AgrFishFor,MidIncome,qo,BAU_noES,26.69877243
MinManuf,MidIncome,qo,BAU_noES,37.2330513
Services,MidIncome,qo,BAU_noES,43.341529846
AgrFishFor,LowIncome,qo,BAU_noES,12.362727165
MinManuf,LowIncome,qo,BAU_noES,7.2201042175
Services,LowIncome,qo,BAU_noES,15.619509697
AgrFishFor,World,qo,BAU_noES,21.856790543
MinManuf,World,qo,BAU_noES,24.558795929
Services,World,qo,BAU_noES,26.364345551
AgrFishFor,HighIncome,po,BAU_aES,1.1520577669
MinManuf,HighIncome,po,BAU_aES,0.94046372175
Services,HighIncome,po,BAU_aES,-0.18942812085
AgrFishFor,MidIncome,po,BAU_aES,1.5079753399
MinManuf,MidIncome,po,BAU_aES,0.82956802845
Services,MidIncome,po,BAU_aES,-0.10044780374
AgrFishFor,LowIncome,po,BAU_aES,-8.75793211162090E-0003
MinManuf,LowIncome,po,BAU_aES,0.56555294991
Services,LowIncome,po,BAU_aES,-0.095049642026
AgrFishFor,World,po,BAU_aES,-0.18232651055
MinManuf,World,po,BAU_aES,-0.096897959709
Services,World,po,BAU_aES,-0.013219396584
AgrFishFor,HighIncome,qo,BAU_aES,-0.15238928795
MinManuf,HighIncome,qo,BAU_aES,-0.8512417078
Services,HighIncome,qo,BAU_aES,0.094452187419
AgrFishFor,MidIncome,qo,BAU_aES,-0.31575343013
MinManuf,MidIncome,qo,BAU_aES,-0.14933171868
Services,MidIncome,qo,BAU_aES,-0.018893361092
AgrFishFor,LowIncome,qo,BAU_aES,0.11426416785
MinManuf,LowIncome,qo,BAU_aES,0.043172162026
Services,LowIncome,qo,BAU_aES,-0.013322871178
AgrFishFor,World,qo,BAU_aES,-0.18232651055
MinManuf,World,qo,BAU_aES,-0.096897959709
Services,World,qo,BAU_aES,-0.013219396584
AgrFishFor,HighIncome,po,GlOBPES,0.27035436034
MinManuf,HighIncome,po,GlOBPES,0.04596985504
Services,HighIncome,po,GlOBPES,0.024042334408
AgrFishFor,MidIncome,po,GlOBPES,-0.22328497469
MinManuf,MidIncome,po,GlOBPES,0.038638483733
Services,MidIncome,po,GlOBPES,0.053059082478
AgrFishFor,LowIncome,po,GlOBPES,-0.27687752247
MinManuf,LowIncome,po,GlOBPES,-4.37523098662496E-0003
Services,LowIncome,po,GlOBPES,-0.042886931449
AgrFishFor,World,po,GlOBPES,0.04557267949
MinManuf,World,po,GlOBPES,8.20109061896801E-0003
Services,World,po,GlOBPES,4.57154307514429E-0003
AgrFishFor,HighIncome,qo,GlOBPES,-0.22597922385
MinManuf,HighIncome,qo,GlOBPES,-0.042186934501
Services,HighIncome,qo,GlOBPES,0.047334745526
AgrFishFor,MidIncome,qo,GlOBPES,0.064511105418
MinManuf,MidIncome,qo,GlOBPES,-0.027330351993
Services,MidIncome,qo,GlOBPES,0.023914858699
AgrFishFor,LowIncome,qo,GlOBPES,0.053695548326
MinManuf,LowIncome,qo,GlOBPES,0.074667744339
Services,LowIncome,qo,GlOBPES,-0.010809269734
AgrFishFor,World,qo,GlOBPES,0.04557267949
MinManuf,World,qo,GlOBPES,8.20109061896801E-0003
Services,World,qo,GlOBPES,4.57154307514429E-0003
AgrFishFor,HighIncome,po,NATPES,-0.21199251711
MinManuf,HighIncome,po,NATPES,0.028612090275
Services,HighIncome,po,NATPES,-0.041671860963
AgrFishFor,MidIncome,po,NATPES,-0.49158599973
MinManuf,MidIncome,po,NATPES,0.040314827114
Services,MidIncome,po,NATPES,0.035407394171
AgrFishFor,LowIncome,po,NATPES,-0.30153569579
MinManuf,LowIncome,po,NATPES,0.030533183366
Services,LowIncome,po,NATPES,6.13583857193589E-0003
AgrFishFor,World,po,NATPES,0.072248071432
MinManuf,World,po,NATPES,6.87639182433486E-0003
Services,World,po,NATPES,8.02302360534668E-0003
AgrFishFor,HighIncome,qo,NATPES,-0.14891894162
MinManuf,HighIncome,qo,NATPES,0.04018548876
Services,HighIncome,qo,NATPES,0.026614289731
AgrFishFor,MidIncome,qo,NATPES,0.11587010324
MinManuf,MidIncome,qo,NATPES,7.12584983557463E-0003
Services,MidIncome,qo,NATPES,0.01319199428
AgrFishFor,LowIncome,qo,NATPES,0.014803105034
MinManuf,LowIncome,qo,NATPES,4.39281528815627E-0003
Services,LowIncome,qo,NATPES,3.63938999362290E-0003
AgrFishFor,World,qo,NATPES,0.072248071432
MinManuf,World,qo,NATPES,6.87639182433486E-0003
Services,World,qo,NATPES,8.02302360534668E-0003
AgrFishFor,HighIncome,po,SRLand,0.40995439887
MinManuf,HighIncome,po,SRLand,0.1011044234
Services,HighIncome,po,SRLand,0.03209650889
AgrFishFor,MidIncome,po,SRLand,0.022113492712
MinManuf,MidIncome,po,SRLand,0.12084747851
Services,MidIncome,po,SRLand,0.10355041921
AgrFishFor,LowIncome,po,SRLand,0.16557681561
MinManuf,LowIncome,po,SRLand,0.11323705316
Services,LowIncome,po,SRLand,0.10195967555
AgrFishFor,World,po,SRLand,-0.045118108392
MinManuf,World,po,SRLand,0.012066377327
Services,World,po,SRLand,0.019135871902
AgrFishFor,HighIncome,qo,SRLand,-0.25974050164
MinManuf,HighIncome,qo,SRLand,0.083149015903
Services,HighIncome,qo,SRLand,0.059378445148
AgrFishFor,MidIncome,qo,SRLand,-2.90668132947758E-0004
