ACTS,REG,RACTRES,SCEN,Value
paddyrice,ARG,po,BAU,-4.0389885902
wheat,ARG,po,BAU,-3.7953951359
crsgrns,ARG,po,BAU,-3.4083459377
fruitveg,ARG,po,BAU,-2.7809729576
oilsds,ARG,po,BAU,-2.53439188
sugarcrps,ARG,po,BAU,0.27979326248
cotton,ARG,po,BAU,-3.12981534
othercrps,ARG,po,BAU,-1.1468366385
forestsec,ARG,po,BAU,0.7206184864
fishery,ARG,po,BAU,10.597845078
ruminant,ARG,po,BAU,-12.438457489
nonruminant,ARG,po,BAU,-36.874835968
PrFood,ARG,po,BAU,-7.5099015236
PrLstk,ARG,po,BAU,-12.931911469
NRes,ARG,po,BAU,11.345504761
Mnfcing,ARG,po,BAU,-7.1977906227
Services,ARG,po,BAU,-8.2917947769
paddyrice,BGD,po,BAU,-1.4196770191
wheat,BGD,po,BAU,-6.8754200935
crsgrns,BGD,po,BAU,-15.668107033
fruitveg,BGD,po,BAU,0.11770705134
oilsds,BGD,po,BAU,-5.1730117798
sugarcrps,BGD,po,BAU,-4.3333301544
cotton,BGD,po,BAU,-1.371342659
othercrps,BGD,po,BAU,-2.0481696129
forestsec,BGD,po,BAU,-3.6636683941
fishery,BGD,po,BAU,41.68706131
ruminant,BGD,po,BAU,-9.139585495
nonruminant,BGD,po,BAU,-35.243228912
PrFood,BGD,po,BAU,-6.6496477127
PrLstk,BGD,po,BAU,-8.5348358154
NRes,BGD,po,BAU,10.949383736
Mnfcing,BGD,po,BAU,-9.9439096451
Services,BGD,po,BAU,-6.3838415146
paddyrice,BRAZIL,po,BAU,-3.3026885986
wheat,BRAZIL,po,BAU,-4.9498062134
crsgrns,BRAZIL,po,BAU,-4.7388849258
fruitveg,BRAZIL,po,BAU,-4.5231356621
oilsds,BRAZIL,po,BAU,-4.17973423
sugarcrps,BRAZIL,po,BAU,-2.5625998974
cotton,BRAZIL,po,BAU,-2.1426641941
othercrps,BRAZIL,po,BAU,-4.0567708015
forestsec,BRAZIL,po,BAU,5.5268044472
fishery,BRAZIL,po,BAU,20.685165405
ruminant,BRAZIL,po,BAU,-13.386279106
nonruminant,BRAZIL,po,BAU,-33.232437134
PrFood,BRAZIL,po,BAU,-6.9249224663
PrLstk,BRAZIL,po,BAU,-12.671582222
NRes,BRAZIL,po,BAU,12.828184128
Mnfcing,BRAZIL,po,BAU,-6.2284402847
Services,BRAZIL,po,BAU,-6.5271000862
paddyrice,C_C_Amer,po,BAU,-2.9298784733
wheat,C_C_Amer,po,BAU,-5.9398460388
crsgrns,C_C_Amer,po,BAU,-4.0237469673
fruitveg,C_C_Amer,po,BAU,-4.7074213028
oilsds,C_C_Amer,po,BAU,-3.4631588459
sugarcrps,C_C_Amer,po,BAU,7.6199536324
cotton,C_C_Amer,po,BAU,-0.44114169478
othercrps,C_C_Amer,po,BAU,-3.2617332935
forestsec,C_C_Amer,po,BAU,7.0144686699
fishery,C_C_Amer,po,BAU,14.688774109
ruminant,C_C_Amer,po,BAU,-9.8275461197
nonruminant,C_C_Amer,po,BAU,-32.970191956
PrFood,C_C_Amer,po,BAU,-9.100235939
PrLstk,C_C_Amer,po,BAU,-14.106135368
NRes,C_C_Amer,po,BAU,11.11720562
Mnfcing,C_C_Amer,po,BAU,-9.2641220093
Services,C_C_Amer,po,BAU,-8.8479042053
paddyrice,CAN,po,BAU,-2.9429633617
wheat,CAN,po,BAU,-9.2901735306
crsgrns,CAN,po,BAU,-11.990226746
fruitveg,CAN,po,BAU,-5.8964014053
oilsds,CAN,po,BAU,-8.990442276
sugarcrps,CAN,po,BAU,-10.760079384
cotton,CAN,po,BAU,-4.7571907043
othercrps,CAN,po,BAU,-5.7205519676
forestsec,CAN,po,BAU,-6.7470002174
fishery,CAN,po,BAU,9.7167100906
ruminant,CAN,po,BAU,-9.1119670868
nonruminant,CAN,po,BAU,-12.777832031
PrFood,CAN,po,BAU,-7.7312116623
PrLstk,CAN,po,BAU,-9.6408901215
NRes,CAN,po,BAU,8.2392749786
Mnfcing,CAN,po,BAU,-7.4801883698
Services,CAN,po,BAU,-5.0655856133
paddyrice,CHIHKG,po,BAU,-7.1069674492
wheat,CHIHKG,po,BAU,-20.624769211
crsgrns,CHIHKG,po,BAU,-18.287931442
fruitveg,CHIHKG,po,BAU,-7.5458059311
oilsds,CHIHKG,po,BAU,-7.0857257843
sugarcrps,CHIHKG,po,BAU,-14.172348976
cotton,CHIHKG,po,BAU,-7.2746019363
othercrps,CHIHKG,po,BAU,-0.51028650999
forestsec,CHIHKG,po,BAU,17.879020691
fishery,CHIHKG,po,BAU,35.715816498
ruminant,CHIHKG,po,BAU,-18.765140533
nonruminant,CHIHKG,po,BAU,-41.63633728
PrFood,CHIHKG,po,BAU,-11.206082344
PrLstk,CHIHKG,po,BAU,-25.33798027
NRes,CHIHKG,po,BAU,15.350351334
Mnfcing,CHIHKG,po,BAU,-13.421168327
Services,CHIHKG,po,BAU,-10.138246536
paddyrice,COL,po,BAU,1.4003783464
wheat,COL,po,BAU,-4.3428554535
crsgrns,COL,po,BAU,-2.8890478611
fruitveg,COL,po,BAU,0.47228854895
oilsds,COL,po,BAU,1.5954685211
sugarcrps,COL,po,BAU,5.9701724052
cotton,COL,po,BAU,-2.341385603
othercrps,COL,po,BAU,-2.4213318825
forestsec,COL,po,BAU,12.828533173
fishery,COL,po,BAU,15.381297112
ruminant,COL,po,BAU,-8.2334451675
nonruminant,COL,po,BAU,-30.373138428
PrFood,COL,po,BAU,-3.9880504608
PrLstk,COL,po,BAU,-8.7174434662
NRes,COL,po,BAU,11.594683647
Mnfcing,COL,po,BAU,-4.2069487572
Services,COL,po,BAU,-4.302980423
paddyrice,E_Asia,po,BAU,18.636634827
wheat,E_Asia,po,BAU,8.7153396606
crsgrns,E_Asia,po,BAU,22.443943024
fruitveg,E_Asia,po,BAU,10.980547905
oilsds,E_Asia,po,BAU,11.083016396
sugarcrps,E_Asia,po,BAU,14.497800827
cotton,E_Asia,po,BAU,4.9964561462
othercrps,E_Asia,po,BAU,6.728041172
forestsec,E_Asia,po,BAU,13.956291199
fishery,E_Asia,po,BAU,28.895608902
ruminant,E_Asia,po,BAU,33.555873871
nonruminant,E_Asia,po,BAU,-21.777936935
PrFood,E_Asia,po,BAU,-11.835954666
PrLstk,E_Asia,po,BAU,0.91462892294
NRes,E_Asia,po,BAU,14.348729134
Mnfcing,E_Asia,po,BAU,-10.511868477
Services,E_Asia,po,BAU,-12.859355927
paddyrice,EGY,po,BAU,24.720703125
wheat,EGY,po,BAU,5.6113114357
crsgrns,EGY,po,BAU,17.899267197
fruitveg,EGY,po,BAU,18.460361481
oilsds,EGY,po,BAU,15.272206306
sugarcrps,EGY,po,BAU,20.926267624
cotton,EGY,po,BAU,16.300434113
othercrps,EGY,po,BAU,6.7415971756
forestsec,EGY,po,BAU,11.458540916
fishery,EGY,po,BAU,24.64261055
ruminant,EGY,po,BAU,11.931964874
nonruminant,EGY,po,BAU,8.5238571167
PrFood,EGY,po,BAU,-6.9822282791
PrLstk,EGY,po,BAU,-5.6977734566
NRes,EGY,po,BAU,13.901409149
Mnfcing,EGY,po,BAU,-12.168400764
Services,EGY,po,BAU,-10.478744507
paddyrice,ETH,po,BAU,7.6257042885
wheat,ETH,po,BAU,6.1194171906
crsgrns,ETH,po,BAU,9.7866411209
fruitveg,ETH,po,BAU,12.768173218
oilsds,ETH,po,BAU,-0.097201220691
sugarcrps,ETH,po,BAU,11.087530136
cotton,ETH,po,BAU,14.032093048
othercrps,ETH,po,BAU,4.8555297852
forestsec,ETH,po,BAU,39.372714996
fishery,ETH,po,BAU,37.179252625
ruminant,ETH,po,BAU,8.6370325089
nonruminant,ETH,po,BAU,5.4982681274
PrFood,ETH,po,BAU,-8.9347019196
PrLstk,ETH,po,BAU,-10.874666214
NRes,ETH,po,BAU,5.317835331
Mnfcing,ETH,po,BAU,-11.77600956
Services,ETH,po,BAU,-9.2399511337
paddyrice,EU27,po,BAU,-7.7804784775
wheat,EU27,po,BAU,-8.1881914139
crsgrns,EU27,po,BAU,-10.778172493
fruitveg,EU27,po,BAU,-7.2373800278
oilsds,EU27,po,BAU,-9.1087741852
sugarcrps,EU27,po,BAU,-12.538273811
cotton,EU27,po,BAU,-2.6244120598
othercrps,EU27,po,BAU,-8.699007988
forestsec,EU27,po,BAU,-2.2528698444
fishery,EU27,po,BAU,14.329235077
ruminant,EU27,po,BAU,-6.1097350121
nonruminant,EU27,po,BAU,-11.348730087
PrFood,EU27,po,BAU,-7.6126127243
PrLstk,EU27,po,BAU,-8.2175722122
NRes,EU27,po,BAU,10.137291908
Mnfcing,EU27,po,BAU,-7.7321658134
Services,EU27,po,BAU,-6.8498606682
paddyrice,IDN,po,BAU,40.727024078
wheat,IDN,po,BAU,-0.17953783274
crsgrns,IDN,po,BAU,23.42590332
fruitveg,IDN,po,BAU,20.221906662
oilsds,IDN,po,BAU,18.842523575
sugarcrps,IDN,po,BAU,22.707763672
cotton,IDN,po,BAU,8.5280065536
othercrps,IDN,po,BAU,10.931202888
forestsec,IDN,po,BAU,28.500843048
fishery,IDN,po,BAU,18.368696213
ruminant,IDN,po,BAU,32.63992691
nonruminant,IDN,po,BAU,-31.010650635
PrFood,IDN,po,BAU,1.7175270319
PrLstk,IDN,po,BAU,-7.6025028229
NRes,IDN,po,BAU,14.246046066
Mnfcing,IDN,po,BAU,-10.622465134
Services,IDN,po,BAU,-13.086906433
paddyrice,INDIA,po,BAU,3.8037238121
wheat,INDIA,po,BAU,-5.1579356194
crsgrns,INDIA,po,BAU,-4.0894284248
fruitveg,INDIA,po,BAU,4.670238018
oilsds,INDIA,po,BAU,1.1476916075
sugarcrps,INDIA,po,BAU,1.7747100592
cotton,INDIA,po,BAU,0.47124913335
othercrps,INDIA,po,BAU,-2.2933723927
forestsec,INDIA,po,BAU,18.408229828
fishery,INDIA,po,BAU,21.799352646
ruminant,INDIA,po,BAU,-4.0246324539
nonruminant,INDIA,po,BAU,-28.330896378
PrFood,INDIA,po,BAU,-9.5841646194
PrLstk,INDIA,po,BAU,-12.656236649
NRes,INDIA,po,BAU,13.20846653
Mnfcing,INDIA,po,BAU,-13.350418091
Services,INDIA,po,BAU,-11.801877975
paddyrice,JAPAN,po,BAU,13.149323463
wheat,JAPAN,po,BAU,0.80739396811
crsgrns,JAPAN,po,BAU,4.1150941849
fruitveg,JAPAN,po,BAU,7.9877195358
oilsds,JAPAN,po,BAU,4.0409126282
sugarcrps,JAPAN,po,BAU,8.3640680313
cotton,JAPAN,po,BAU,7.3894343376
othercrps,JAPAN,po,BAU,5.6648263931
forestsec,JAPAN,po,BAU,-0.7041361928
fishery,JAPAN,po,BAU,19.10610199
ruminant,JAPAN,po,BAU,8.6072692871
nonruminant,JAPAN,po,BAU,-27.833818436
PrFood,JAPAN,po,BAU,-5.3817300797
PrLstk,JAPAN,po,BAU,-10.748605728
NRes,JAPAN,po,BAU,5.6219921112
