ACOM,AREG,AREG,TRADERES,SCEN,Value
AgrFishFor,HighIncome,HighIncome,qxs,BAU,13.388415337
MinManuf,HighIncome,HighIncome,qxs,BAU,24.052606583
Services,HighIncome,HighIncome,qxs,BAU,43.948116302
AgrFishFor,MidIncome,HighIncome,qxs,BAU,31.815620422
MinManuf,MidIncome,HighIncome,qxs,BAU,37.842273712
Services,MidIncome,HighIncome,qxs,BAU,31.125095367
AgrFishFor,LowIncome,HighIncome,qxs,BAU,27.604700089
MinManuf,LowIncome,HighIncome,qxs,BAU,4.945494175
Services,LowIncome,HighIncome,qxs,BAU,13.538360596
AgrFishFor,HighIncome,MidIncome,qxs,BAU,-1.5949399471
MinManuf,HighIncome,MidIncome,qxs,BAU,27.269735336
Services,HighIncome,MidIncome,qxs,BAU,47.699462891
AgrFishFor,MidIncome,MidIncome,qxs,BAU,21.913215637
MinManuf,MidIncome,MidIncome,qxs,BAU,39.179218292
Services,MidIncome,MidIncome,qxs,BAU,35.657539368
AgrFishFor,LowIncome,MidIncome,qxs,BAU,19.056816101
MinManuf,LowIncome,MidIncome,qxs,BAU,10.004825592
Services,LowIncome,MidIncome,qxs,BAU,15.847754478
AgrFishFor,HighIncome,LowIncome,qxs,BAU,-7.1791033745
MinManuf,HighIncome,LowIncome,qxs,BAU,15.179605484
Services,HighIncome,LowIncome,qxs,BAU,35.773696899
AgrFishFor,MidIncome,LowIncome,qxs,BAU,12.319439888
MinManuf,MidIncome,LowIncome,qxs,BAU,24.633691788
Services,MidIncome,LowIncome,qxs,BAU,24.404315948
AgrFishFor,LowIncome,LowIncome,qxs,BAU,10.463500977
MinManuf,LowIncome,LowIncome,qxs,BAU,3.6130805016
Services,LowIncome,LowIncome,qxs,BAU,7.3859581947
AgrFishFor,HighIncome,HighIncome,pfob,BAU,-1.5949882269
MinManuf,HighIncome,HighIncome,pfob,BAU,-5.3946232796
Services,HighIncome,HighIncome,pfob,BAU,-11.424606323
AgrFishFor,MidIncome,HighIncome,pfob,BAU,-6.6682720184
MinManuf,MidIncome,HighIncome,pfob,BAU,-7.8057365417
Services,MidIncome,HighIncome,pfob,BAU,-9.4315423965
AgrFishFor,LowIncome,HighIncome,pfob,BAU,-7.6734318733
MinManuf,LowIncome,HighIncome,pfob,BAU,-7.2209377289
Services,LowIncome,HighIncome,pfob,BAU,-5.9726023674
AgrFishFor,HighIncome,MidIncome,pfob,BAU,2.7915239334
MinManuf,HighIncome,MidIncome,pfob,BAU,-7.3904938698
Services,HighIncome,MidIncome,pfob,BAU,-11.6095438
AgrFishFor,MidIncome,MidIncome,pfob,BAU,-6.4731340408
MinManuf,MidIncome,MidIncome,pfob,BAU,-5.9333443642
Services,MidIncome,MidIncome,pfob,BAU,-9.6800737381
AgrFishFor,LowIncome,MidIncome,pfob,BAU,-7.6997156143
MinManuf,LowIncome,MidIncome,pfob,BAU,-6.7200989723
Services,LowIncome,MidIncome,pfob,BAU,-5.9548258781
AgrFishFor,HighIncome,LowIncome,pfob,BAU,-2.7109799385
MinManuf,HighIncome,LowIncome,pfob,BAU,-6.9384016991
Services,HighIncome,LowIncome,pfob,BAU,-11.61054039
AgrFishFor,MidIncome,LowIncome,pfob,BAU,-6.7030735016
MinManuf,MidIncome,LowIncome,pfob,BAU,-6.2840867043
Services,MidIncome,LowIncome,pfob,BAU,-9.5896244049
AgrFishFor,LowIncome,LowIncome,pfob,BAU,-7.6421375275
MinManuf,LowIncome,LowIncome,pfob,BAU,-6.8386297226
Services,LowIncome,LowIncome,pfob,BAU,-6.0902986526
AgrFishFor,HighIncome,HighIncome,qxs,BAU_noES,12.343432426
MinManuf,HighIncome,HighIncome,qxs,BAU_noES,13.002470016
Services,HighIncome,HighIncome,qxs,BAU_noES,72.876968384
AgrFishFor,MidIncome,HighIncome,qxs,BAU_noES,57.236209869
MinManuf,MidIncome,HighIncome,qxs,BAU_noES,44.16493988
Services,MidIncome,HighIncome,qxs,BAU_noES,44.171497345
AgrFishFor,LowIncome,HighIncome,qxs,BAU_noES,38.514591217
MinManuf,LowIncome,HighIncome,qxs,BAU_noES,4.9404621124
Services,LowIncome,HighIncome,qxs,BAU_noES,9.2362880707
AgrFishFor,HighIncome,MidIncome,qxs,BAU_noES,-0.42905914783
MinManuf,HighIncome,MidIncome,qxs,BAU_noES,23.878553391
Services,HighIncome,MidIncome,qxs,BAU_noES,90.113525391
AgrFishFor,MidIncome,MidIncome,qxs,BAU_noES,43.133308411
MinManuf,MidIncome,MidIncome,qxs,BAU_noES,59.11233902
Services,MidIncome,MidIncome,qxs,BAU_noES,61.964736938
AgrFishFor,LowIncome,MidIncome,qxs,BAU_noES,33.577270508
MinManuf,LowIncome,MidIncome,qxs,BAU_noES,22.730230331
Services,LowIncome,MidIncome,qxs,BAU_noES,22.710140228
AgrFishFor,HighIncome,LowIncome,qxs,BAU_noES,-9.2784500122
MinManuf,HighIncome,LowIncome,qxs,BAU_noES,6.0695948601
